Test Case,Matrix Size,Method,Time Taken (Seconds)
unit_100x100,100,ijk,0.001000
unit_100x100,100,ikj,0.005000
unit_100x100,100,jik,0.003000
unit_100x100,100,kij,0.003000
unit_100x100,100,kji,0.003000
unit_120x120,120,ijk,0.000000
unit_120x120,120,ikj,0.013000
unit_120x120,120,jik,0.005000
unit_120x120,120,kij,0.005000
unit_120x120,120,kji,0.006000
unit_140x140,140,ijk,0.020000
unit_140x140,140,ikj,0.002000
unit_140x140,140,jik,0.007000
unit_140x140,140,kij,0.012000
unit_140x140,140,kji,0.005000
unit_160x160,160,ijk,0.012000
unit_160x160,160,ikj,0.004000
unit_160x160,160,jik,0.015000
unit_160x160,160,kij,0.017000
unit_160x160,160,kji,0.012000
unit_180x180,180,ijk,0.016000
unit_180x180,180,ikj,0.018000
unit_180x180,180,jik,0.014000
unit_180x180,180,kij,0.052000
unit_180x180,180,kji,0.018000
unit_200x200,200,ijk,0.033000
unit_200x200,200,ikj,0.021000
unit_200x200,200,jik,0.029000
unit_200x200,200,kij,0.021000
unit_200x200,200,kji,0.029000
unit_220x220,220,ijk,0.028000
unit_220x220,220,ikj,0.038000
unit_220x220,220,jik,0.034000
unit_220x220,220,kij,0.034000
unit_220x220,220,kji,0.032000
unit_240x240,240,ijk,0.033000
unit_240x240,240,ikj,0.052000
unit_240x240,240,jik,0.036000
unit_240x240,240,kij,0.048000
unit_240x240,240,kji,0.035000
unit_260x260,260,ijk,0.045000
unit_260x260,260,ikj,0.070000
unit_260x260,260,jik,0.048000
unit_260x260,260,kij,0.052000
unit_260x260,260,kji,0.051000
unit_280x280,280,ijk,0.067000
unit_280x280,280,ikj,0.061000
unit_280x280,280,jik,0.067000
unit_280x280,280,kij,0.067000
unit_280x280,280,kji,0.066000
unit_300x300,300,ijk,0.077000
unit_300x300,300,ikj,0.083000
unit_300x300,300,jik,0.067000
unit_300x300,300,kij,0.083000
unit_300x300,300,kji,0.097000
unit_320x320,320,ijk,0.096000
unit_320x320,320,ikj,0.106000
unit_320x320,320,jik,0.096000
unit_320x320,320,kij,0.099000
unit_320x320,320,kji,0.111000
unit_340x340,340,ijk,0.114000
unit_340x340,340,ikj,0.126000
unit_340x340,340,jik,0.118000
unit_340x340,340,kij,0.116000
unit_340x340,340,kji,0.132000
unit_360x360,360,ijk,0.146000
unit_360x360,360,ikj,0.140000
unit_360x360,360,jik,0.122000
unit_360x360,360,kij,0.142000
unit_360x360,360,kji,0.150000
unit_380x380,380,ijk,0.163000
unit_380x380,380,ikj,0.152000
unit_380x380,380,jik,0.186000
unit_380x380,380,kij,0.165000
unit_380x380,380,kji,0.174000
unit_400x400,400,ijk,0.198000
unit_400x400,400,ikj,0.190000
unit_400x400,400,jik,0.196000
unit_400x400,400,kij,0.184000
unit_400x400,400,kji,0.226000
unit_420x420,420,ijk,0.228000
unit_420x420,420,ikj,0.246000
unit_420x420,420,jik,0.246000
unit_420x420,420,kij,0.229000
unit_420x420,420,kji,0.263000
unit_440x440,440,ijk,0.251000
unit_440x440,440,ikj,0.265000
unit_440x440,440,jik,0.254000
unit_440x440,440,kij,0.284000
unit_440x440,440,kji,0.284000
unit_460x460,460,ijk,0.315000
unit_460x460,460,ikj,0.304000
unit_460x460,460,jik,0.310000
unit_460x460,460,kij,0.300000
unit_460x460,460,kji,0.341000
unit_480x480,480,ijk,0.385000
unit_480x480,480,ikj,0.364000
unit_480x480,480,jik,0.390000
unit_480x480,480,kij,0.343000
unit_480x480,480,kji,0.433000
unit_500x500,500,ijk,0.420000
unit_500x500,500,ikj,0.403000
unit_500x500,500,jik,0.413000
unit_500x500,500,kij,0.399000
unit_500x500,500,kji,0.442000
